"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Percent","Percent","239","units","0","v110787665","1.1.1.18.4","54.6","","","","1"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Percent","Percent","239","units","0","v110787665","1.1.1.18.4","","..","","","1"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Percent","Percent","239","units","0","v110787665","1.1.1.18.4","53.8","","","","1"
"2018","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v110787666","1.1.1.18.5","53.8","","","","1"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v110787666","1.1.1.18.5","","..","","","1"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v110787666","1.1.1.18.5","52.8","","","","1"
"2018","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v110787667","1.1.1.18.6","55.3","","","","1"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v110787667","1.1.1.18.6","","..","","","1"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v110787667","1.1.1.18.6","54.7","","","","1"
"2018","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Percent","Percent","239","units","0","v110787672","1.1.1.19.4","55.5","","","","1"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Percent","Percent","239","units","0","v110787672","1.1.1.19.4","","..","","","1"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Percent","Percent","239","units","0","v110787672","1.1.1.19.4","42.9","","","","1"
"2018","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Low 95% confidence interval, percent","Percent","239","units","0","v110787673","1.1.1.19.5","53.0","","","","1"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Low 95% confidence interval, percent","Percent","239","units","0","v110787673","1.1.1.19.5","","..","","","1"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Low 95% confidence interval, percent","Percent","239","units","0","v110787673","1.1.1.19.5","40.2","","","","1"
"2018","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","High 95% confidence interval, percent","Percent","239","units","0","v110787674","1.1.1.19.6","58.0","","","","1"
"2019","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","High 95% confidence interval, percent","Percent","239","units","0","v110787674","1.1.1.19.6","","..","","","1"
"2020","Canada (excluding territories)","","Total, 12 years and over","Both sexes","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","High 95% confidence interval, percent","Percent","239","units","0","v110787674","1.1.1.19.6","45.7","","","","1"
"2018","Canada (excluding territories)","","12 to 17 years","Both sexes","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Percent","Percent","239","units","0","v110788218","1.2.1.19.4","55.5","","","","1"
"2019","Canada (excluding territories)","","12 to 17 years","Both sexes","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Percent","Percent","239","units","0","v110788218","1.2.1.19.4","","..","","","1"
"2020","Canada (excluding territories)","","12 to 17 years","Both sexes","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Percent","Percent","239","units","0","v110788218","1.2.1.19.4","42.9","","","","1"
"2018","Canada (excluding territories)","","12 to 17 years","Both sexes","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Low 95% confidence interval, percent","Percent","239","units","0","v110788219","1.2.1.19.5","53.0","","","","1"
"2019","Canada (excluding territories)","","12 to 17 years","Both sexes","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Low 95% confidence interval, percent","Percent","239","units","0","v110788219","1.2.1.19.5","","..","","","1"
"2020","Canada (excluding territories)","","12 to 17 years","Both sexes","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Low 95% confidence interval, percent","Percent","239","units","0","v110788219","1.2.1.19.5","40.2","","","","1"
"2018","Canada (excluding territories)","","12 to 17 years","Both sexes","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","High 95% confidence interval, percent","Percent","239","units","0","v110788220","1.2.1.19.6","58.0","","","","1"
"2019","Canada (excluding territories)","","12 to 17 years","Both sexes","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","High 95% confidence interval, percent","Percent","239","units","0","v110788220","1.2.1.19.6","","..","","","1"
"2020","Canada (excluding territories)","","12 to 17 years","Both sexes","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","High 95% confidence interval, percent","Percent","239","units","0","v110788220","1.2.1.19.6","45.7","","","","1"
"2018","Canada (excluding territories)","","18 to 34 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Percent","Percent","239","units","0","v110788757","1.3.1.18.4","64.3","","","","1"
"2019","Canada (excluding territories)","","18 to 34 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Percent","Percent","239","units","0","v110788757","1.3.1.18.4","","..","","","1"
"2020","Canada (excluding territories)","","18 to 34 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Percent","Percent","239","units","0","v110788757","1.3.1.18.4","59.9","","","","1"
"2018","Canada (excluding territories)","","18 to 34 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v110788758","1.3.1.18.5","62.7","","","","1"
"2019","Canada (excluding territories)","","18 to 34 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v110788758","1.3.1.18.5","","..","","","1"
"2020","Canada (excluding territories)","","18 to 34 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v110788758","1.3.1.18.5","57.8","","","","1"
"2018","Canada (excluding territories)","","18 to 34 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v110788759","1.3.1.18.6","65.9","","","","1"
"2019","Canada (excluding territories)","","18 to 34 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v110788759","1.3.1.18.6","","..","","","1"
"2020","Canada (excluding territories)","","18 to 34 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v110788759","1.3.1.18.6","62.0","","","","1"
"2018","Canada (excluding territories)","","35 to 49 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Percent","Percent","239","units","0","v110789303","1.4.1.18.4","58.4","","","","1"
"2019","Canada (excluding territories)","","35 to 49 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Percent","Percent","239","units","0","v110789303","1.4.1.18.4","","..","","","1"
"2020","Canada (excluding territories)","","35 to 49 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Percent","Percent","239","units","0","v110789303","1.4.1.18.4","57.2","","","","1"
"2018","Canada (excluding territories)","","35 to 49 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v110789304","1.4.1.18.5","56.9","","","","1"
"2019","Canada (excluding territories)","","35 to 49 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v110789304","1.4.1.18.5","","..","","","1"
"2020","Canada (excluding territories)","","35 to 49 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v110789304","1.4.1.18.5","55.2","","","","1"
"2018","Canada (excluding territories)","","35 to 49 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v110789305","1.4.1.18.6","59.9","","","","1"
"2019","Canada (excluding territories)","","35 to 49 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v110789305","1.4.1.18.6","","..","","","1"
"2020","Canada (excluding territories)","","35 to 49 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v110789305","1.4.1.18.6","59.2","","","","1"
"2018","Canada (excluding territories)","","50 to 64 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Percent","Percent","239","units","0","v110789849","1.5.1.18.4","54.0","","","","1"
"2019","Canada (excluding territories)","","50 to 64 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Percent","Percent","239","units","0","v110789849","1.5.1.18.4","","..","","","1"
"2020","Canada (excluding territories)","","50 to 64 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Percent","Percent","239","units","0","v110789849","1.5.1.18.4","55.1","","","","1"
"2018","Canada (excluding territories)","","50 to 64 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v110789850","1.5.1.18.5","52.5","","","","1"
"2019","Canada (excluding territories)","","50 to 64 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v110789850","1.5.1.18.5","","..","","","1"
"2020","Canada (excluding territories)","","50 to 64 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v110789850","1.5.1.18.5","53.3","","","","1"
"2018","Canada (excluding territories)","","50 to 64 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v110789851","1.5.1.18.6","55.5","","","","1"
"2019","Canada (excluding territories)","","50 to 64 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v110789851","1.5.1.18.6","","..","","","1"
"2020","Canada (excluding territories)","","50 to 64 years","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v110789851","1.5.1.18.6","56.9","","","","1"
"2018","Canada (excluding territories)","","65 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Percent","Percent","239","units","0","v110790395","1.6.1.18.4","37.3","","","","1"
"2019","Canada (excluding territories)","","65 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Percent","Percent","239","units","0","v110790395","1.6.1.18.4","","..","","","1"
"2020","Canada (excluding territories)","","65 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Percent","Percent","239","units","0","v110790395","1.6.1.18.4","40.3","","","","1"
"2018","Canada (excluding territories)","","65 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v110790396","1.6.1.18.5","36.1","","","","1"
"2019","Canada (excluding territories)","","65 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v110790396","1.6.1.18.5","","..","","","1"
"2020","Canada (excluding territories)","","65 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Low 95% confidence interval, percent","Percent","239","units","0","v110790396","1.6.1.18.5","39.2","","","","1"
"2018","Canada (excluding territories)","","65 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v110790397","1.6.1.18.6","38.6","","","","1"
"2019","Canada (excluding territories)","","65 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v110790397","1.6.1.18.6","","..","","","1"
"2020","Canada (excluding territories)","","65 years and over","Both sexes","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, percent","Percent","239","units","0","v110790397","1.6.1.18.6","41.4","","","","1"


